nan	0.78	16945	-28003	-15679	-28003	16945	16199
44.31	-96.79	319	-1210	1005	11	-6	16
44.31	-96.79	362	-1245	981	11	-6	22
44.31	-96.79	362	-1245	981	11	-6	22
44.31	-96.79	366	-1255	984	11	-6	22
nan	0.77	16945	-28005	-15679	-28005	16945	16198
44.31	-96.79	346	-1246	993	11	-6	22
44.31	-96.79	346	-1238	996	11	-6	23
44.31	-96.79	350	-1212	1015	11	-6	23
nan	0.77	16945	-28005	-15679	-28005	16945	16198
44.31	-96.79	334	-1249	990	11	-6	23
44.31	-96.79	340	-1234	1008	11	-6	23
44.31	-96.79	349	-1241	990	11	-6	23
nan	0.77	16945	-28005	-15679	-28005	16945	16198
44.31	-96.79	343	-1241	1002	11	-6	23
44.31	-96.79	344	-1235	1002	-28005	16945	16198
44.31	-96.79	326	-1237	995	11	-6	23
nan	0.77	16945	-28005	-15679	-28005	16945	16198
44.31	-96.79	-300	-983	-24068	2	-7	71
nan	0.77	16945	-28005	-15679	-28005	16945	16198
44.31	-96.79	430	-1198	993	11	-6	25
nan	0.77	16945	-28005	-15679	-28005	16945	16198
44.31	-96.79	315	-1289	951	11	-6	25
44.31	-96.79	332	-1205	1045	-28005	16945	16198
44.31	-96.79	344	-1188	989	11	-6	25
nan	0.00	-6	11	16198	-28005	16945	16198
44.31	-96.79	338	-1254	978	-28005	16945	16198
44.31	-96.79	350	-1268	984	11	-6	26
44.31	-96.79	346	-1245	1019	-28005	16945	16198
44.31	-96.79	357	-1230	1011	11	-6	26
44.31	-96.79	356	-1227	1024	-28005	16945	16198
44.31	-96.79	339	-1228	1013	11	-6	26
44.31	-96.79	326	-1238	1010	-28005	16945	16198
44.31	-96.79	315	-1221	1017	11	-6	26
nan	0.00	-6	11	16198	-28005	16945	16198
44.31	-96.79	365	-1222	973	-28005	16945	16198
44.31	-96.79	380	-1230	976	11	-6	27
44.31	-96.79	375	21468	-10286	-28005	16945	16198
44.31	-96.79	375	21468	-10286	11	-6	27
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	380	-1241	977	11	-6	28
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	351	-1258	988	11	-6	28
44.31	-96.79	344	-1233	1025	-28006	16945	16198
44.31	-96.79	350	-1220	1008	11	-6	29
nan	0.00	-6	11	16198	-28006	16945	16198
44.31	-96.79	346	-1240	994	11	-6	29
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	315	-1237	1000	11	-6	29
44.31	-96.79	302	-1230	986	11	-6	29
44.31	-96.79	343	-1220	1001	11	-6	30
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	377	-1266	971	11	-6	30
44.31	-96.79	357	-1242	994	11	-6	30
44.31	-96.79	341	-1245	967	11	-6	30
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	319	-1233	978	11	-6	30
44.31	-96.79	314	-1223	1035	11	-6	31
44.31	-96.79	373	-1211	1029	11	-5	31
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	436	-1253	1005	11	-5	31
44.31	-96.79	499	-1257	958	11	-6	31
44.31	-96.79	453	-1241	914	11	-6	31
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	205	-1293	1017	11	-6	32
44.31	-96.79	222	-1249	1078	11	-6	32
44.31	-96.79	294	-1181	1082	11	-6	32
nan	0.77	16945	-28006	-15679	-28006	16945	16198
44.31	-96.79	318	-1224	983	11	-6	32
44.31	-96.79	297	-1227	984	-28007	16945	16198
44.31	-96.79	309	-1226	986	11	-6	32
nan	0.77	16945	-28007	-15679	-28007	16945	16198
44.31	-96.79	324	-1236	990	11	-6	32
nan	0.77	16945	-28007	-15679	-28007	16945	16198
44.31	-96.79	331	-1252	988	11	-5	34
44.31	-96.79	321	-1296	1020	-28007	16945	16198
44.31	-96.79	301	-1310	990	11	-5	34
nan	0.00	-5	11	16198	-28007	16945	16198
44.31	-96.79	273	-1292	945	-28007	16945	16198
44.31	-96.79	290	-1299	927	11	-4	34
44.31	-96.79	369	-1308	1011	-28007	16945	16198
44.31	-96.79	378	-1259	980	11	-4	34
nan	0.77	16945	-28007	-15679	-28007	16945	16198
44.31	-96.79	422	-1202	934	12	-4	34
nan	0.77	16945	-28007	-15679	-28007	16945	16198
44.31	-96.79	510	-1046	1032	12	-4	35
nan	0.00	-4	12	16197	-28007	16945	16197
44.31	-96.79	287	-1227	991	12	-4	35
nan	0.77	16945	-28007	-15679	-28007	16945	16197
44.31	-96.79	184	-1245	1012	-28007	16945	16197
44.31	-96.79	217	-1299	994	12	-4	35
nan	0.77	16945	-28007	-15679	-28007	16945	16197
44.31	-96.79	345	-1326	994	12	-4	36
nan	0.00	-4	12	16197	-28007	16945	16197
44.31	-96.79	237	-1200	976	12	-4	37
nan	0.77	16945	-28007	-15679	-28007	16945	16197
44.31	-96.79	363	-1284	1017	12	-5	37
44.31	-96.79	393	-1251	1074	12	-5	37
44.31	-96.79	358	-1203	1007	12	-5	37
nan	0.77	16945	-28007	-15679	-28007	16945	16197
44.31	-96.79	403	-1
